"year";"min_bal";"mean_bal";"site"
"P800057PISY_clim.32";1992;-101.918939564574;-62.1669086150399;"P800057PISY"
"P800057PISY_clim.33";1993;-53.6358111925651;-40.1962026726272;"P800057PISY"
"P800057PISY_clim.34";1994;-98.81075308701;-29.3649549681719;"P800057PISY"
"P800057PISY_clim.35";1995;-70.7755903879174;-15.6060040367805;"P800057PISY"
"P800057PISY_clim.36";1996;-56.6970251937516;-5.21089768474254;"P800057PISY"
"P800057PISY_clim.37";1997;-90.2810605481326;-6.79582949446826;"P800057PISY"
"P800057PISY_clim.38";1998;-79.2665977781587;-33.011751201905;"P800057PISY"
"P800057PISY_clim.39";1999;-54.8212073341644;-26.617386050403;"P800057PISY"
"P800057PISY_clim.40";2000;-78.8520810502625;-38.46965677138;"P800057PISY"
"P800057PISY_clim.41";2001;-34.3285518379641;-11.9021737614443;"P800057PISY"
"P800057PISY_clim.42";2002;-40.8157035347633;-15.7630896576856;"P800057PISY"
"P800057PISY_clim.43";2003;-104.897442749742;-45.3168865618739;"P800057PISY"
"P800057PISY_clim.44";2004;-51.4892044707602;-36.7557610542013;"P800057PISY"
"P800057PISY_clim.45";2005;-56.381379607091;-19.7835708421594;"P800057PISY"
"P800057PISY_clim.46";2006;-125.583975716657;-23.8532217830361;"P800057PISY"
"P800057PISY_clim.47";2007;-57.2844392037277;-19.1197982361566;"P800057PISY"
"P800057PISY_clim.48";2008;-68.2269197118422;-35.5699946808146;"P800057PISY"
"P800057PISY_clim.49";2009;-56.5319309175036;-13.0910729371897;"P800057PISY"
"P800057PISY_clim.50";2010;-40.8109071712826;6.45927063929034;"P800057PISY"
"P800057PISY_clim.51";2011;-53.9468108451662;-32.1806514388563;"P800057PISY"
"P800057PISY_clim.52";2012;-76.4968748774538;-37.3375019052833;"P800057PISY"
"P800057PISY_clim.53";2013;-113.720042936269;-25.5356613053484;"P800057PISY"
"P800057PISY_clim.54";2014;-75.7296132382304;-12.4186535636754;"P800057PISY"
"P800057PISY_clim.55";2015;-91.2655939714342;-45.1404392287898;"P800057PISY"
"P800057PISY_clim.56";2016;-79.4182657979284;-37.4539751650693;"P800057PISY"
"P800057PISY_clim.57";2017;-83.2373170383425;-25.5633354512441;"P800057PISY"
"P800057PISY_clim.58";2018;-106.842352198594;-63.9756823671799;"P800057PISY"
"P800057PISY_clim.59";2019;-91.6262891711746;-29.7557562942022;"P800057PISY"
"P800057PISY_clim.60";2020;-37.2023151457166;4.9302920448617;"P800057PISY"
"P800058PCAB_clim.1";1961;-36.6589213471965;-14.1621769511371;"P800058PCAB"
"P800058PCAB_clim.2";1962;-65.090541049902;-20.997709237737;"P800058PCAB"
"P800058PCAB_clim.3";1963;-105.112467809392;-21.6016462367449;"P800058PCAB"
"P800058PCAB_clim.4";1964;-61.7800433295693;-12.5029659548506;"P800058PCAB"
"P800058PCAB_clim.5";1965;-27.3966934360536;12.9893369770256;"P800058PCAB"
"P800058PCAB_clim.6";1966;-26.1564978530343;-1.93068943326929;"P800058PCAB"
"P800058PCAB_clim.7";1967;-59.4822220008603;-9.48516970758584;"P800058PCAB"
"P800058PCAB_clim.8";1968;-56.4289164364344;-27.8579879085374;"P800058PCAB"
"P800058PCAB_clim.9";1969;-72.9686304723348;-25.1636538365922;"P800058PCAB"
"P800058PCAB_clim.10";1970;-53.7796255667672;-22.6640715409636;"P800058PCAB"
"P800058PCAB_clim.11";1971;-92.9724732103716;-32.422206490027;"P800058PCAB"
"P800058PCAB_clim.12";1972;-49.3321741384004;3.10344649895239;"P800058PCAB"
"P800058PCAB_clim.13";1973;-89.267760338625;-37.7823531766039;"P800058PCAB"
"P800058PCAB_clim.14";1974;-58.372418435903;-14.7778829898323;"P800058PCAB"
"P800058PCAB_clim.15";1975;-49.3905981120547;-20.0594376576678;"P800058PCAB"
"P800058PCAB_clim.16";1976;-87.5231193997356;-41.3370174933695;"P800058PCAB"
"P800058PCAB_clim.17";1977;-40.7324967154735;-17.0661659332358;"P800058PCAB"
"P800058PCAB_clim.18";1978;-40.5769084615585;-16.2318884808507;"P800058PCAB"
"P800058PCAB_clim.19";1979;-68.4631642507912;-19.4620271451077;"P800058PCAB"
"P800058PCAB_clim.20";1980;-54.6935156659092;-10.4338731873458;"P800058PCAB"
"P800058PCAB_clim.21";1981;-72.3983879529222;-21.1315779918754;"P800058PCAB"
"P800058PCAB_clim.22";1982;-60.6783423245968;-28.4584560738747;"P800058PCAB"
"P800058PCAB_clim.23";1983;-115.454024130241;-42.5458594756985;"P800058PCAB"
"P800058PCAB_clim.24";1984;-53.8745953884861;-14.8638058741613;"P800058PCAB"
"P800058PCAB_clim.25";1985;-46.7722514561474;2.88234236033585;"P800058PCAB"
"P800058PCAB_clim.26";1986;-44.199187761211;-20.607289760631;"P800058PCAB"
"P800058PCAB_clim.27";1987;-50.7780852987914;3.07876651692419;"P800058PCAB"
"P800058PCAB_clim.28";1988;-61.8009634924336;-28.5501261666513;"P800058PCAB"
"P800058PCAB_clim.29";1989;-73.2683190092438;-24.3214309480586;"P800058PCAB"
"P800058PCAB_clim.30";1990;-81.9063366220037;-34.738354493478;"P800058PCAB"
"P800058PCAB_clim.31";1991;-59.5152079331824;-22.5093449063777;"P800058PCAB"
"P800058PCAB_clim.32";1992;-86.9462445702936;-58.2038321593202;"P800058PCAB"
"P800058PCAB_clim.33";1993;-57.3214624558928;-40.348587842905;"P800058PCAB"
"P800058PCAB_clim.34";1994;-100.886534663892;-34.0546923341288;"P800058PCAB"
"P800058PCAB_clim.35";1995;-74.904564542708;-13.4610846812048;"P800058PCAB"
"P800058PCAB_clim.36";1996;-42.345164502374;-0.599101180829765;"P800058PCAB"
"P800058PCAB_clim.37";1997;-76.6403724532358;-10.3084966841995;"P800058PCAB"
"P800058PCAB_clim.38";1998;-85.1526724664417;-26.0786476934065;"P800058PCAB"
"P800058PCAB_clim.39";1999;-49.3132233492024;-22.4984121238956;"P800058PCAB"
"P800058PCAB_clim.40";2000;-86.37610997171;-42.5965349997095;"P800058PCAB"
"P800058PCAB_clim.41";2001;-41.8521818304388;-13.038208206496;"P800058PCAB"
"P800058PCAB_clim.42";2002;-65.123176404674;-26.6051314940948;"P800058PCAB"
"P800058PCAB_clim.43";2003;-102.029525061514;-45.8554908088155;"P800058PCAB"
"P800058PCAB_clim.44";2004;-71.7503528822376;-34.3066172402642;"P800058PCAB"
"P800058PCAB_clim.45";2005;-73.7317789496759;-24.1452959684678;"P800058PCAB"
"P800058PCAB_clim.46";2006;-117.5278168944;-26.446045869009;"P800058PCAB"
"P800058PCAB_clim.47";2007;-68.5228871960536;-36.0548573373926;"P800058PCAB"
"P800058PCAB_clim.48";2008;-54.0536554344991;-32.8203529000032;"P800058PCAB"
"P800058PCAB_clim.49";2009;-61.6510801579522;-18.03425726531;"P800058PCAB"
"P800058PCAB_clim.50";2010;-13.786910877036;14.8478675797731;"P800058PCAB"
"P800058PCAB_clim.51";2011;-52.523751628022;-25.9706616685509;"P800058PCAB"
"P800058PCAB_clim.52";2012;-71.9516245235495;-41.7170951526619;"P800058PCAB"
"P800058PCAB_clim.53";2013;-100.126447636086;-21.5946964948723;"P800058PCAB"
"P800058PCAB_clim.54";2014;-74.8013436668001;-7.04591176642171;"P800058PCAB"
"P800058PCAB_clim.55";2015;-84.2031065200876;-54.7964919204288;"P800058PCAB"
"P800058PCAB_clim.56";2016;-77.0224443815559;-46.5221494501911;"P800058PCAB"
"P800058PCAB_clim.57";2017;-83.0775467644411;-24.851497496649;"P800058PCAB"
"P800058PCAB_clim.58";2018;-100.636561970332;-53.4657626157007;"P800058PCAB"
"P800058PCAB_clim.59";2019;-82.7453221436712;-36.4485410678931;"P800058PCAB"
"P800058PCAB_clim.60";2020;-41.1948622166171;9.0806675269366;"P800058PCAB"
"P800060QUPE_clim.1";1961;-43.4708800732376;-16.2913711444824;"P800060QUPE"
"P800060QUPE_clim.2";1962;-65.4376533100573;-13.4671715814605;"P800060QUPE"
"P800060QUPE_clim.3";1963;-86.9086933502213;-12.7185219918725;"P800060QUPE"
"P800060QUPE_clim.4";1964;-85.9233690039378;-13.0852878338111;"P800060QUPE"
